epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.48303855162194487,0.7905574043261231,0.36693979540993443,0.8458694466331292,9.960967771506667e-05
2,0.4065246673396939,0.8256681572379367,0.3549328315502962,0.8522940784289957,9.844486647586725e-05
3,0.3825110372236485,0.8368474417637272,0.3546362371688626,0.8558094429965453,9.652393605146846e-05
4,0.36800435233780626,0.8437240016638935,0.34592079871336223,0.8516273713558398,9.387718066217125e-05
5,0.3523995757673227,0.8503795757071547,0.321699325924852,0.8676889508455058,9.054634122155992e-05
6,0.34253179917914695,0.8550982737104825,0.3273677058363042,0.8637493181404934,8.658394705735988e-05
7,0.33043905930243395,0.860596921797005,0.3244997001075768,0.8621734650584884,8.205248749256015e-05
8,0.31832018896267933,0.8641976913477537,0.33047930073056037,0.8625977331959512,7.702342635146033e-05
9,0.3085672006556476,0.8699433236272879,0.31850490870493975,0.8692041941935875,7.15760749324711e-05
10,0.30021293151398465,0.8735700915141431,0.3113673328919818,0.8699315110006667,6.57963412215599e-05
11,0.28863293517647487,0.8778338186356073,0.3167068854130588,0.8681132189829687,5.977537507199338e-05
12,0.27641441166004205,0.8837744384359401,0.3402605910858708,0.8624765137281047,5.360813071670102e-05
13,0.2684908860646647,0.8860102953410982,0.3459363033178467,0.8568398084732408,4.739186928329899e-05
14,0.25613127187043183,0.8926918677204659,0.3103643707238773,0.8710830959452088,4.122462492800663e-05
15,0.24802673843607134,0.8964876247920133,0.3224475430469743,0.8722952906236742,3.520365877844011e-05
16,0.23908708618950725,0.9003613768718802,0.32078835759403357,0.8700527304685133,2.9423925067528902e-05
17,0.22936818233618322,0.9033771838602329,0.32813396436480713,0.8690223649918177,2.3976573648539653e-05
18,0.21957930975815224,0.9079008943427621,0.32570764303380806,0.870658827807746,1.8947512507439855e-05
19,0.21275684269712292,0.9100977537437605,0.33632521846379804,0.8702345596702831,1.4416052942640137e-05
20,0.20313454728678934,0.914647462562396,0.3381542098367566,0.8705982180738226,1.0453658778440105e-05
21,0.19865847093218972,0.9163633527454242,0.345634140797229,0.8696890720649736,7.122819337828751e-06
22,0.19338024302560855,0.9187811980033278,0.34722775954052537,0.8701133402024365,4.4760639485315575e-06
23,0.1885666956477326,0.9213160357737105,0.35580053223762464,0.868416267652585,2.555133524132767e-06
24,0.186901074420419,0.9217320091514143,0.351769376945565,0.8684768773865083,1.3903222849333505e-06
25,0.1839435344837767,0.9225899542429284,0.3516254894238066,0.8691435844596642,1e-06
