epoch,train_loss,train_acc,val_acc,lr
1,0.4607450287504169,0.9180860481586403,0.8739317534396024,4.788186371224372e-05
2,0.45014968578606085,0.9231232294617564,0.8687799260561246,4.532091636218621e-05
3,0.4432358794779683,0.9263456090651558,0.8722952906236742,4.1893699855792026e-05
4,0.43638868093828304,0.9295325779036827,0.8646584641493423,3.775e-05
5,0.4317892615079204,0.9316395184135977,0.8665979756348869,3.307091636218622e-05
6,0.4260599550714574,0.9343307365439093,0.8689617552578944,2.806094735005752e-05
7,0.42152518066063144,0.9355524079320113,0.8701739499363598,2.2939052649942503e-05
8,0.41682631466273884,0.937429178470255,0.8726589490272137,1.7929083637813798e-05
9,0.41091772966276824,0.9390049575070821,0.8729013879629068,1.325000000000001e-05
10,0.40758554653473006,0.9401203966005666,0.8712043154130553,9.106300144207984e-06
11,0.4048326555628952,0.941439447592068,0.8712649251469786,5.6790836378137905e-06
12,0.40256151950393115,0.9413951841359773,0.8735074853021395,3.1181362877562766e-06
13,0.40042112722950685,0.9419440509915015,0.8712043154130553,1.5353837820217607e-06
14,0.3983023994198602,0.9424220963172805,0.8756894357233772,1e-06
15,0.39920945890226717,0.9422627478753541,0.875871264925147,1.5353837820217607e-06
